Movie-Title,rating,Director_stars
Peter Pan,6.8,"Director:P.J. Hogan,  Stars:Jeremy Sumpter, Jason Isaacs, Olivia Williams, Lynn Redgrave"
The Lovely Bones,6.7,"Director:Peter Jackson,  Stars:Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon"
Hotel Transylvania,7.1,"Director:Genndy Tartakovsky,  Stars:Adam Sandler, Kevin James, Andy Samberg, Selena Gomez"
The Great Gatsby,7.2,"Director:Baz Luhrmann,  Stars:Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire"
Employee of the Month,6.1,"Director:Mitch Rouse,  Stars:Matt Dillon, Steve Zahn, Christina Applegate, Andrea Bendewald"
Doctor Sleep,7.3,"Director:Mike Flanagan,  Stars:Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis"
Memento,8.4,"Director:Christopher Nolan,  Stars:Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
Dead Man Down,6.5,"Director:Niels Arden Oplev,  Stars:Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard"
Jurassic World,7.0,"Director:Colin Trevorrow,  Stars:Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer"
Captain America: Civil War,7.8,"Directors:Anthony Russo, Joe Russo,  Stars:Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
The Terminator,8.0,"Director:James Cameron,  Stars:Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Boogie Nights,7.9,"Director:Paul Thomas Anderson,  Stars:Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán"
Fast & Furious 7,7.1,"Director:James Wan,  Stars:Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham"
Star Wars: Episode I - The Phantom Menace,6.5,"Director:George Lucas,  Stars:Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd"
Hannibal,6.8,"Director:Ridley Scott,  Stars:Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta"
Resident Evil,6.7,"Director:Paul W.S. Anderson,  Stars:Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce"
The Invisible Man,7.1,"Director:Leigh Whannell,  Stars:Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge"
Sen to Chihiro no kamikakushi,8.6,"Director:Hayao Miyazaki,  Stars:Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
Kong: Skull Island,6.6,"Director:Jordan Vogt-Roberts,  Stars:Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
Hellboy,5.2,"Director:Neil Marshall,  Stars:David Harbour, Milla Jovovich, Ian McShane, Sasha Lane"
Blade Runner,8.1,"Director:Ridley Scott,  Stars:Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
The Exorcist,8.0,"Director:William Friedkin,  Stars:Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
The Truman Show,8.1,"Director:Peter Weir,  Stars:Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich"
Into the Wild,8.1,"Director:Sean Penn,  Stars:Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
The Usual Suspects,8.5,"Director:Bryan Singer,  Stars:Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
The Mountain Between Us,6.4,"Director:Hany Abu-Assad,  Stars:Kate Winslet, Idris Elba, Beau Bridges, Dermot Mulroney"
The Karate Kid,7.3,"Director:John G. Avildsen,  Stars:Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove"
Irréversible,7.4,"Director:Gaspar Noé,  Stars:Monica Bellucci, Vincent Cassel, Albert Dupontel, Jo Prestia"
A Star Is Born,7.6,"Director:Bradley Cooper,  Stars:Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
